"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R29XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R29XX.R.A.A._Z._Z.A_FLAGS
2010-06;3,47;
2010-07;3,53;
2010-08;2,75;
2010-09;3,00;
2010-10;3,12;
2010-11;3,24;
2010-12;3,52;
2011-01;3,69;
2011-02;3,68;
2011-03;3,92;
2011-04;3,89;
2011-05;3,72;
2011-06;3,94;
2011-07;3,54;
2011-08;3,34;
2011-09;2,85;
2011-10;3,04;
2011-11;3,11;
2011-12;2,46;
2012-01;2,64;
2012-02;2,56;
2012-03;2,59;
2012-04;2,53;
2012-05;1,93;
2012-06;2,45;
2012-07;2,34;
2012-08;2,25;
2012-09;2,35;
2012-10;2,46;
2012-11;2,38;
2012-12;2,23;
2013-01;2,47;
2013-02;2,41;
2013-03;2,31;
2013-04;2,21;
2013-05;2,46;
2013-06;2,58;
2013-07;2,59;
2013-08;2,75;
2013-09;2,70;
2013-10;2,74;
2013-11;2,76;
2013-12;2,89;
2014-01;2,60;
2014-02;2,62;
2014-03;2,59;
2014-04;2,53;
2014-05;2,40;
2014-06;2,34;
2014-07;2,19;
2014-08;1,89;
2014-09;2,03;
2014-10;1,94;
2014-11;1,78;
2014-12;1,57;
2015-01;1,09;
2015-02;1,08;
2015-03;0,70;
2015-04;0,94;
2015-05;1,19;
2015-06;1,68;
2015-07;1,47;
2015-08;1,47;
2015-09;1,40;
2015-10;1,30;
2015-11;1,39;
2015-12;1,59;
2016-01;1,14;
2016-02;0,88;
2016-03;0,91;
2016-04;1,11;
2016-05;1,00;
2016-06;0,48;
2016-07;0,44;
2016-08;0,49;
2016-09;0,46;
2016-10;0,89;
2016-11;0,89;
2016-12;1,03;
2017-01;1,32;
2017-02;1,12;
2017-03;1,22;
2017-04;1,23;
2017-05;1,27;
2017-06;1,32;
2017-07;1,44;
2017-08;1,24;
2017-09;1,37;
2017-10;1,32;
2017-11;1,24;
2017-12;1,32;
2018-01;1,37;
2018-02;1,36;
2018-03;1,22;
2018-04;1,29;
2018-05;1,16;
2018-06;1,11;
2018-07;1,14;
2018-08;1,08;
2018-09;1,14;
2018-10;1,10;
2018-11;1,07;
2018-12;0,93;
2019-01;0,83;
2019-02;0,85;
2019-03;0,64;
2019-04;0,77;
2019-05;0,51;
2019-06;0,31;
2019-07;0,23;
2019-08;-0,18;
2019-09;-0,05;
2019-10;0,12;
2019-11;0,15;
2019-12;0,33;
2020-01;0,10;
2020-02;-0,17;
2020-03;-0,01;
2020-04;-0,09;
2020-05;0,03;
2020-06;-0,03;
2020-07;-0,13;
2020-08;0,10;
2020-09;-0,12;
2020-10;-0,23;
2020-11;-0,18;
2020-12;-0,15;
2021-01;-0,06;
2021-02;0,20;
2021-03;0,31;
2021-04;0,36;
2021-05;0,40;
2021-06;0,30;
2021-07;0,04;
2021-08;0,04;
2021-09;0,24;
2021-10;0,13;
2021-11;-0,08;
2021-12;0,12;
2022-01;0,21;
2022-02;0,41;
2022-03;0,69;
2022-04;1,01;
2022-05;1,31;
2022-06;1,66;
2022-07;1,16;
2022-08;1,60;
2022-09;2,08;
2022-10;2,17;
2022-11;1,77;
2022-12;2,39;
2023-01;2,16;
2023-02;2,51;
2023-03;2,32;
2023-04;2,46;
2023-05;2,38;
2023-06;2,45;
2023-07;2,54;
2023-08;2,57;
2023-09;2,98;
2023-10;3,03;
2023-11;2,63;
2023-12;2,24;
2024-01;2,41;
2024-02;2,59;
2024-03;2,43;
2024-04;2,63;
2024-05;2,78;
2024-06;2,61;
2024-07;2,53;
2024-08;2,50;
2024-09;2,50;
2024-10;2,62;
2024-11;2,30;
