"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R23XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R23XX.R.A.A._Z._Z.A_FLAGS
2010-12;3,68;
2011-01;3,81;
2011-02;3,82;
2011-03;4,02;
2011-04;3,96;
2011-05;3,78;
2011-06;3,99;
2011-07;3,62;
2011-08;3,31;
2011-09;2,91;
2011-10;3,16;
2011-11;3,27;
2011-12;2,65;
2012-01;2,80;
2012-02;2,73;
2012-03;2,76;
2012-04;2,69;
2012-05;2,08;
2012-06;2,58;
2012-07;2,38;
2012-08;2,31;
2012-09;2,44;
2012-10;2,51;
2012-11;2,45;
2012-12;2,30;
2013-01;2,53;
2013-02;2,50;
2013-03;2,38;
2013-04;2,26;
2013-05;2,53;
2013-06;2,66;
2013-07;2,69;
2013-08;2,84;
2013-09;2,82;
2013-10;2,82;
2013-11;2,86;
2013-12;2,99;
2014-01;2,70;
2014-02;2,68;
2014-03;2,65;
2014-04;2,59;
2014-05;2,46;
2014-06;2,37;
2014-07;2,22;
2014-08;1,89;
2014-09;2,03;
2014-10;1,79;
2014-11;1,62;
2014-12;1,43;
2015-01;0,97;
2015-02;1,03;
2015-03;0,63;
2015-04;0,85;
2015-05;1,18;
2015-06;1,68;
2015-07;1,44;
2015-08;1,48;
2015-09;1,39;
2015-10;1,28;
2015-11;1,37;
2015-12;1,57;
2016-01;1,12;
2016-02;0,84;
2016-03;0,86;
2016-04;0,98;
2016-05;0,88;
2016-06;0,39;
2016-07;0,35;
2016-08;0,39;
2016-09;0,36;
2016-10;0,78;
2016-11;0,87;
2016-12;0,91;
2017-01;1,19;
2017-02;0,98;
2017-03;1,09;
2017-04;1,10;
2017-05;1,13;
2017-06;1,20;
2017-07;1,33;
2017-08;1,11;
2017-09;1,23;
2017-10;1,22;
2017-11;1,15;
2017-12;1,19;
2018-01;1,27;
2018-02;1,29;
2018-03;1,12;
2018-04;1,19;
2018-05;1,06;
2018-06;1,00;
2018-07;1,04;
2018-08;0,97;
2018-09;1,04;
2018-10;1,00;
2018-11;0,96;
2018-12;0,83;
2019-01;0,72;
2019-02;0,74;
2019-03;0,53;
2019-04;0,64;
2019-05;0,39;
2019-06;0,21;
2019-07;0,11;
2019-08;-0,27;
2019-09;-0,15;
2019-10;0,02;
2019-11;0,05;
2019-12;0,25;
2020-01;0,01;
2020-02;-0,25;
2020-03;-0,09;
2020-04;-0,16;
2020-05;-0,04;
2020-06;-0,11;
2020-07;-0,21;
2020-08;0,02;
2020-09;-0,20;
2020-10;-0,30;
2020-11;-0,25;
2020-12;-0,23;
2021-01;-0,15;
2021-02;0,13;
2021-03;0,22;
2021-04;0,27;
2021-05;0,31;
2021-06;0,22;
2021-07;-0,05;
2021-08;-0,04;
2021-09;0,17;
2021-10;0,09;
2021-11;-0,13;
2021-12;0,06;
2022-01;0,17;
2022-02;0,37;
2022-03;0,67;
2022-04;0,95;
2022-05;1,34;
2022-06;1,72;
2022-07;1,19;
2022-08;1,68;
2022-09;2,14;
2022-10;2,24;
2022-11;1,86;
2022-12;2,50;
2023-01;2,28;
2023-02;2,62;
2023-03;2,41;
2023-04;2,45;
2023-05;2,46;
2023-06;2,45;
2023-07;2,62;
2023-08;2,64;
2023-09;3,03;
2023-10;3,07;
2023-11;2,70;
2023-12;2,30;
2024-01;2,47;
2024-02;2,66;
2024-03;2,49;
2024-04;2,71;
2024-05;2,88;
2024-06;2,68;
2024-07;2,59;
2024-08;2,54;
2024-09;2,53;
2024-10;2,67;
2024-11;2,35;
