"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1990-03-19,87.0981754974928,93.4299981758049,111.406923493899,105.814191858785,87.17597,94.42792,89.60489,95.70734,115.27661,108.51468,113.14771,107.48294
1990-03-20,86.766722714663,93.2519928514091,113.184572036844,106.877787760546,86.84523,94.25961,88.5628,95.16236,115.75357,108.75081,114.50388,108.13924
1990-03-21,87.0635391495957,93.4109652124208,115.28871582047,108.268354024302,87.14332,94.43219,87.59403,94.65364,115.39568,108.59431,115.79862,108.76317
1990-03-22,84.5363464951264,92.0537934095542,117.809075827615,109.327401586024,84.61482,93.07284,85.48336,93.52469,118.78037,110.19836,118.62908,110.10476
1990-03-23,85.5871818324913,92.6230382768166,116.987084150979,109.049561573333,85.66761,93.66208,86.25186,93.95636,117.33848,109.54075,117.60477,109.64185
1990-03-24,85.7144808316562,92.6902777554721,116.951083741944,109.058716352334,85.79602,93.74253,86.3318,94.01122,117.20068,109.48761,117.53882,109.6235
1990-03-25,85.7465774373809,92.7060805113948,116.998130433015,109.099291270297,85.82914,93.7709,86.33901,94.02648,117.19358,109.49547,117.57206,109.65139
1990-03-26,85.8710942997532,92.7717494680767,116.969649476821,109.112481728485,85.95477,93.84977,86.41431,94.07881,117.0601,109.44429,117.51254,109.63602
1990-03-27,87.5541795462668,93.6792499434506,114.143977458221,107.716623919782,87.64049,94.78029,88.39181,95.16661,114.79898,108.39837,114.86342,108.41265
1990-03-28,87.2803652649591,93.5311523592211,113.533660836524,107.280980023852,87.36742,94.64299,88.63545,95.3093,115.19369,108.59576,114.58901,108.29548
1990-03-29,85.6412091377326,92.6495508942226,113.738111265516,107.077804101865,85.72764,93.76494,87.98932,94.97355,117.38979,109.6417,115.46652,108.72255
1990-03-30,84.2766142450082,91.9079471748087,113.749615970282,106.804379653493,84.36266,93.02845,87.53219,94.73836,119.29374,110.54173,116.10874,109.03727
1990-03-31,84.382979373237,91.9643448501562,114.4699230339,107.282167678609,84.47011,93.09785,87.22018,94.58099,119.18028,110.50038,116.56535,109.26407
1990-04-01,84.6867781649942,92.128172215754,115.167486831042,107.786774507846,84.7752,93.27646,86.99106,94.46823,118.78966,110.33094,116.91453,109.44014
1990-04-02,85.0990766344874,92.3505745034596,115.78337189219,108.262880285973,85.18891,93.5148,86.8424,94.39901,118.25037,110.09236,117.15772,109.56647
1990-04-03,87.0516795675702,93.4088039900968,112.103407374229,106.387990898369,87.14456,94.599,89.37288,95.78579,115.57361,108.85818,113.78416,108.00146
1990-04-04,85.163845339317,92.3943815066776,113.450317479723,106.860267188131,85.25572,93.58468,88.02605,95.07576,118.11645,110.06743,115.53957,108.84693
1990-04-05,85.4522875595567,92.5493551443631,114.075441708793,107.317604241882,85.54546,93.75445,87.82284,94.97756,117.75561,109.91114,115.84896,109.00506
1990-04-06,84.899740065146,92.2484926170411,114.431817680913,107.429890777677,84.9933,93.46272,87.47,94.79822,118.55604,110.29659,116.35675,109.25629
1990-04-07,84.7024738816568,92.1402948197473,114.166280773812,107.226748802336,84.7968,93.36551,87.55785,94.85727,118.87157,110.45531,116.28253,109.23381
1990-04-08,84.6268468034234,92.0983843209269,113.674280154383,106.907495614179,84.72207,93.33517,87.80404,95.00207,119.01804,110.53533,115.99804,109.11255
1990-04-09,84.6980362671049,92.1363488335518,113.209095094975,106.635579022421,84.79432,93.38583,88.08878,95.16755,118.95831,110.51959,115.66405,108.96778
1990-04-10,85.1964484088986,92.4057584409381,112.910443667538,106.557042571365,85.29428,93.67199,88.43581,95.36642,118.29773,110.22476,115.25017,108.78507
1990-04-11,83.9386157308367,91.720776970278,112.292681601762,105.910066855474,84.03599,92.99188,88.34149,95.32699,120.08231,111.06809,115.415,108.87509
1990-04-12,84.7163709905256,92.1447444759473,110.48501868563,104.941940965559,84.81562,93.43388,89.58451,96.00908,119.00752,110.5829,113.83086,108.14014
1990-04-13,85.1950786475129,92.4029980769717,110.608128860921,105.122891564922,85.29587,93.70911,89.70625,96.0858,118.37363,110.30022,113.71737,108.09835
1990-04-14,85.58304258754,92.6115668429133,110.818010885519,105.339930659019,85.68528,93.93372,89.7489,96.12012,117.87336,110.07896,113.70452,108.10436
1990-04-15,85.8273591476012,92.7423385378342,111.011263437507,105.516941283916,85.93088,94.07915,89.75026,96.13234,117.57599,109.95192,113.744,108.13524
1990-04-16,85.8265756707917,92.7408445658889,111.092418399392,105.572768710253,85.93109,94.09008,89.72707,96.13159,117.61652,109.98268,113.81543,108.18151
1990-04-17,85.5448642973573,92.587366338154,111.0387739094,105.485490855915,85.65003,93.94702,89.67858,96.11738,118.04184,110.19337,113.91952,108.2434
1990-04-18,82.7110868671571,91.0524253610645,113.086416864434,106.204696316516,82.81376,92.40232,87.59501,95.01266,121.98878,112.04747,116.60695,109.53271
1990-04-19,81.7718744060117,90.5344830861825,115.14530887221,107.29767307937,81.87434,91.88879,86.22273,94.27995,123.41289,112.71347,118.47498,110.42253
1990-04-20,81.3625997762065,90.3080457684967,117.99104567169,108.981484908069,81.4655,91.66974,84.68788,93.45215,124.07043,113.02563,120.62517,111.43702
1990-04-21,80.7561040714769,89.9703039135543,119.512021926336,109.787491129363,80.85918,91.339,83.77013,92.95704,125.03496,113.47692,121.97532,112.07325
1990-04-22,79.9151617078633,89.4999676898459,120.412228992902,110.152755077227,80.0181,90.87439,83.07633,92.58329,126.37678,114.0979,123.02941,112.57016
1990-04-23,79.3460587692422,89.1796006840216,121.08941628606,110.439551220219,79.44919,90.56172,82.5859,92.32117,127.31777,114.53487,123.80039,112.9356
1990-04-24,79.6147900682552,89.3291650584634,122.132426859667,111.140726218357,79.71919,90.72585,82.22495,92.1305,126.92778,114.37154,124.38634,113.21557
1990-04-25,79.275672220013,89.1385672162127,120.095520165188,109.831374139654,79.38055,90.54325,83.0467,92.60192,127.50887,114.64525,123.18697,112.68247
