Datum,Feiertag
25.12.2000,Erster Weihnachtstag
26.12.2000,Zweiter Weihnachtstag
31.12.2000,Silvester
01.01.2001,Neujahrstag
13.04.2001,Karfreitag
16.04.2001,Ostermontag
01.05.2001,Tag der Arbeit
24.05.2001,Christi Himmelfahrt
04.06.2001,Pfingstmontag
03.10.2001,Tag der Deutschen Einheit
24.12.2001,Heiligabend
25.12.2001,Erster Weihnachtstag
26.12.2001,Zweiter Weihnachtstag
31.12.2001,Silvester
01.01.2002,Neujahrstag
29.03.2002,Karfreitag
01.04.2002,Ostermontag
01.05.2002,Tag der Arbeit
09.05.2002,Christi Himmelfahrt
20.05.2002,Pfingstmontag
03.10.2002,Tag der Deutschen Einheit
24.12.2002,Heiligabend
25.12.2002,Erster Weihnachtstag
26.12.2002,Zweiter Weihnachtstag
31.12.2002,Silvester
01.01.2003,Neujahrstag
18.04.2003,Karfreitag
21.04.2003,Ostermontag
01.05.2003,Tag der Arbeit
29.05.2003,Christi Himmelfahrt
09.06.2003,Pfingstmontag
03.10.2003,Tag der Deutschen Einheit
24.12.2003,Heiligabend
25.12.2003,Erster Weihnachtstag
26.12.2003,Zweiter Weihnachtstag
31.12.2003,Silvester
01.01.2004,Neujahrstag
09.04.2004,Karfreitag
12.04.2004,Ostermontag
01.05.2004,Tag der Arbeit
20.05.2004,Christi Himmelfahrt
31.05.2004,Pfingstmontag
03.10.2004,Tag der Deutschen Einheit
24.12.2004,Heiligabend
25.12.2004,Erster Weihnachtstag
26.12.2004,Zweiter Weihnachtstag
31.12.2004,Silvester
01.01.2005,Neujahrstag
25.03.2005,Karfreitag
28.03.2005,Ostermontag
01.05.2005,Tag der Arbeit
05.05.2005,Christi Himmelfahrt
16.05.2005,Pfingstmontag
03.10.2005,Tag der Deutschen Einheit
24.12.2005,Heiligabend
25.12.2005,Erster Weihnachtstag
26.12.2005,Zweiter Weihnachtstag
31.12.2005,Silvester
01.01.2006,Neujahrstag
14.04.2006,Karfreitag
17.04.2006,Ostermontag
01.05.2006,Tag der Arbeit
25.05.2006,Christi Himmelfahrt
05.06.2006,Pfingstmontag
03.10.2006,Tag der Deutschen Einheit
24.12.2006,Heiligabend
25.12.2006,Erster Weihnachtstag
26.12.2006,Zweiter Weihnachtstag
31.12.2006,Silvester
01.01.2007,Neujahrstag
06.04.2007,Karfreitag
09.04.2007,Ostermontag
01.05.2007,Tag der Arbeit
17.05.2007,Christi Himmelfahrt
28.05.2007,Pfingstmontag
03.10.2007,Tag der Deutschen Einheit
24.12.2007,Heiligabend
25.12.2007,Erster Weihnachtstag
26.12.2007,Zweiter Weihnachtstag
31.12.2007,Silvester
01.01.2008,Neujahrstag
21.03.2008,Karfreitag
24.03.2008,Ostermontag
01.05.2008,Tag der Arbeit
01.05.2008,Christi Himmelfahrt
12.05.2008,Pfingstmontag
03.10.2008,Tag der Deutschen Einheit
24.12.2008,Heiligabend
25.12.2008,Erster Weihnachtstag
26.12.2008,Zweiter Weihnachtstag
31.12.2008,Silvester
01.01.2009,Neujahrstag
10.04.2009,Karfreitag
13.04.2009,Ostermontag
01.05.2009,Tag der Arbeit
21.05.2009,Christi Himmelfahrt
01.06.2009,Pfingstmontag
03.10.2009,Tag der Deutschen Einheit
24.12.2009,Heiligabend
25.12.2009,Erster Weihnachtstag
26.12.2009,Zweiter Weihnachtstag
31.12.2009,Silvester
01.01.2010,Neujahrstag
02.04.2010,Karfreitag
05.04.2010,Ostermontag
01.05.2010,Tag der Arbeit
13.05.2010,Christi Himmelfahrt
24.05.2010,Pfingstmontag
03.10.2010,Tag der Deutschen Einheit
24.12.2010,Heiligabend
25.12.2010,Erster Weihnachtstag
26.12.2010,Zweiter Weihnachtstag
31.12.2010,Silvester
01.01.2011,Neujahrstag
22.04.2011,Karfreitag
25.04.2011,Ostermontag
01.05.2011,Tag der Arbeit
02.06.2011,Christi Himmelfahrt
13.06.2011,Pfingstmontag
03.10.2011,Tag der Deutschen Einheit
24.12.2011,Heiligabend
25.12.2011,Erster Weihnachtstag
26.12.2011,Zweiter Weihnachtstag
31.12.2011,Silvester
01.01.2012,Neujahrstag
06.04.2012,Karfreitag
09.04.2012,Ostermontag
01.05.2012,Tag der Arbeit
17.05.2012,Christi Himmelfahrt
28.05.2012,Pfingstmontag
03.10.2012,Tag der Deutschen Einheit
24.12.2012,Heiligabend
25.12.2012,Erster Weihnachtstag
26.12.2012,Zweiter Weihnachtstag
31.12.2012,Silvester
01.01.2013,Neujahrstag
29.03.2013,Karfreitag
01.04.2013,Ostermontag
01.05.2013,Tag der Arbeit
09.05.2013,Christi Himmelfahrt
20.05.2013,Pfingstmontag
03.10.2013,Tag der Deutschen Einheit
24.12.2013,Heiligabend
25.12.2013,Erster Weihnachtstag
26.12.2013,Zweiter Weihnachtstag
31.12.2013,Silvester
01.01.2014,Neujahrstag
18.04.2014,Karfreitag
21.04.2014,Ostermontag
01.05.2014,Tag der Arbeit
29.05.2014,Christi Himmelfahrt
09.06.2014,Pfingstmontag
03.10.2014,Tag der Deutschen Einheit
24.12.2014,Heiligabend
25.12.2014,Erster Weihnachtstag
26.12.2014,Zweiter Weihnachtstag
31.12.2014,Silvester
01.01.2015,Neujahrstag
03.04.2015,Karfreitag
06.04.2015,Ostermontag
01.05.2015,Tag der Arbeit
14.05.2015,Christi Himmelfahrt
25.05.2015,Pfingstmontag
03.10.2015,Tag der Deutschen Einheit
24.12.2015,Heiligabend
25.12.2015,Erster Weihnachtstag
26.12.2015,Zweiter Weihnachtstag
31.12.2015,Silvester
01.01.2016,Neujahrstag
25.03.2016,Karfreitag
28.03.2016,Ostermontag
01.05.2016,Tag der Arbeit
05.05.2016,Christi Himmelfahrt
16.05.2016,Pfingstmontag
03.10.2016,Tag der Deutschen Einheit
24.12.2016,Heiligabend
25.12.2016,Erster Weihnachtstag
26.12.2016,Zweiter Weihnachtstag
31.12.2016,Silvester
01.01.2017,Neujahrstag
14.04.2017,Karfreitag
17.04.2017,Ostermontag
01.05.2017,Tag der Arbeit
25.05.2017,Christi Himmelfahrt
05.06.2017,Pfingstmontag
03.10.2017,Tag der Deutschen Einheit
24.12.2017,Heiligabend
25.12.2017,Erster Weihnachtstag
26.12.2017,Zweiter Weihnachtstag
31.12.2017,Silvester
01.01.2018,Neujahrstag
30.03.2018,Karfreitag
02.04.2018,Ostermontag
01.05.2018,Tag der Arbeit
10.05.2018,Christi Himmelfahrt
21.05.2018,Pfingstmontag
03.10.2018,Tag der Deutschen Einheit
24.12.2018,Heiligabend
25.12.2018,Erster Weihnachtstag
26.12.2018,Zweiter Weihnachtstag
31.12.2018,Silvester
01.01.2019,Neujahrstag
19.04.2019,Karfreitag
22.04.2019,Ostermontag
01.05.2019,Tag der Arbeit
30.05.2019,Christi Himmelfahrt
10.06.2019,Pfingstmontag
03.10.2019,Tag der Deutschen Einheit
24.12.2019,Heiligabend
25.12.2019,Erster Weihnachtstag
26.12.2019,Zweiter Weihnachtstag
31.12.2019,Silvester
01.01.2020,Neujahrstag
10.04.2020,Karfreitag
13.04.2020,Ostermontag
01.05.2020,Tag der Arbeit
21.05.2020,Christi Himmelfahrt
01.06.2020,Pfingstmontag
03.10.2020,Tag der Deutschen Einheit
24.12.2020,Heiligabend
25.12.2020,Erster Weihnachtstag
26.12.2020,Zweiter Weihnachtstag
31.12.2020,Silvester
01.01.2021,Neujahrstag
02.04.2021,Karfreitag
05.04.2021,Ostermontag
01.05.2021,Tag der Arbeit
13.05.2021,Christi Himmelfahrt
24.05.2021,Pfingstmontag
03.10.2021,Tag der Deutschen Einheit
24.12.2021,Heiligabend
25.12.2021,Erster Weihnachtstag
26.12.2021,Zweiter Weihnachtstag
31.12.2021,Silvester
01.01.2022,Neujahrstag
15.04.2022,Karfreitag
18.04.2022,Ostermontag
01.05.2022,Tag der Arbeit
26.05.2022,Christi Himmelfahrt
06.06.2022,Pfingstmontag
03.10.2022,Tag der Deutschen Einheit
24.12.2022,Heiligabend
25.12.2022,Erster Weihnachtstag
